id,prob
833724,0.23
60465234,0.02
8805880,0.07
91121019,0.16
12506889,0.2
92849538,0.07
74575021,0.57
5405696,0.05
6583842,0.22
29594422,0.08
12926434,0.25
15250565,0.15
3806467,0.03
58714127,0.58
1206558,0.13
42433788,0.31
2366612,0.12
129358028,0.24
59261608,0.09
1109924,0.25
75417971,0.19
12695317,0.04
5787278,0.28
20148915,0.1
809799,0.04
58622411,0.19
35773701,0.22
59139593,0.24
77480585,0.16
63398719,0.18
43839860,0.12
6706976,0.26
42333804,0.12
14658964,0.27
85588030,0.09
4807797,0.08
96750707,0.17
22314389,0.13
1675698,0.15
55370320,0.12
88065058,0.1
5967543,0.33
101921368,0.37
105333378,0.09
38882512,0.27
98427591,0.09
34603071,0.21
45272112,0.11
1604502,0.08
3635761,0.09
44515835,0.47
79421006,0.24
51035602,0.13
10073335,0.13
26078105,0.07
23885838,0.2
66593126,0.2
40287584,0.52
5355755,0.35
56117428,0.27
126166008,0.01
485283,0.03
47654443,0.45
63387759,0.27
5773731,0.08
1002813,0.21
44936040,0.12
1252563,0.13
26339342,0.35
77078996,0.17
63529794,0.18
83963167,0.11
63435393,0.06
65189838,0.22
45474453,0.11
94217962,0.23
79102534,0.02
57356310,0.03
1111937,0.37
72174187,0.01
51806225,0.18
2744572,0.19
56522203,0.06
65654099,0.15
1239571,0.1
12998750,0.05
3004786,0.13
21120464,0.07
10605099,0.17
19066589,0.06
10676079,0.09
26380345,0.15
6178075,0.17
77050143,0.31
1093593,0.21
96525742,0.1
47451151,0.15
54455349,0.3
90054285,0.04
7505030,0.05
5756959,0.26
62145746,0.22
771460,0.18
129171644,0.1
6536642,0.17
12439382,0.37
18324664,0.29
44766237,0.12
122684405,0.19
7698728,0.32
70160563,0.47
1609816,0.14
61434075,0.1
51006512,0.39
18594675,0.13
35803975,0.08
2370112,0.02
23883918,0.11
49904276,0.27
6235135,0.14
129516960,0.01
41063439,0.34
44105296,0.18
15660689,0.1
1382452,0.24
48524436,0.14
40674353,0.03
12766866,0.13
11705459,0.08
7925709,0.14
8961686,0.08
27531679,0.24
32919813,0.58
6206879,0.08
121120374,0.05
