id,prob
833724,0.13
60465234,0.05
8805880,0.11
91121019,0.09
12506889,0.23
92849538,0.06
74575021,0.45
5405696,0.08
6583842,0.24
29594422,0.12
12926434,0.25
15250565,0.16
3806467,0.03
58714127,0.56
1206558,0.11
42433788,0.36
2366612,0.1
129358028,0.26
59261608,0.08
1109924,0.3
75417971,0.13
12695317,0.06
5787278,0.37
20148915,0.13
809799,0.06
58622411,0.18
35773701,0.14
59139593,0.32
77480585,0.1
63398719,0.2
43839860,0.15
6706976,0.21
42333804,0.11
14658964,0.29
85588030,0.08
4807797,0.07
96750707,0.29
22314389,0.15
1675698,0.21
55370320,0.12
88065058,0.09
5967543,0.26
101921368,0.41
105333378,0.1
38882512,0.25
98427591,0.08
34603071,0.27
45272112,0.12
1604502,0.07
3635761,0.09
44515835,0.39
79421006,0.24
51035602,0.12
10073335,0.14
26078105,0.07
23885838,0.17
66593126,0.55
40287584,0.48
5355755,0.37
56117428,0.38
126166008,0.01
485283,0.05
47654443,0.36
63387759,0.28
5773731,0.09
1002813,0.35
44936040,0.08
1252563,0.13
26339342,0.42
77078996,0.19
63529794,0.14
83963167,0.13
63435393,0.08
65189838,0.15
45474453,0.13
94217962,0.38
79102534,0.04
57356310,0.04
1111937,0.52
72174187,0.04
51806225,0.12
2744572,0.24
56522203,0.1
65654099,0.12
1239571,0.13
12998750,0.08
3004786,0.18
21120464,0.09
10605099,0.1
19066589,0.05
10676079,0.11
26380345,0.09
6178075,0.17
77050143,0.28
1093593,0.25
96525742,0.18
47451151,0.16
54455349,0.3
90054285,0.01
7505030,0.07
5756959,0.31
62145746,0.14
771460,0.18
129171644,0.06
6536642,0.12
12439382,0.42
18324664,0.25
44766237,0.11
122684405,0.18
7698728,0.37
70160563,0.33
1609816,0.1
61434075,0.13
51006512,0.31
18594675,0.17
35803975,0.14
2370112,0.02
23883918,0.09
49904276,0.23
6235135,0.17
129516960,0.02
41063439,0.41
44105296,0.12
15660689,0.12
1382452,0.34
48524436,0.14
40674353,0.04
12766866,0.15
11705459,0.1
7925709,0.1
8961686,0.07
27531679,0.17
32919813,0.55
6206879,0.08
121120374,0.09
7690037,0.16
9856058,0.12
39659290,0.15
68477026,0.16
41011212,0.13
3926220,0.23
3675816,0.21
10716681,0.1
1001416,0.09
1675764,0.45
48609026,0.33
15729868,0.23
1468082,0.32
23743321,0.13
77352433,0.17
7068246,0.15
10098251,0.13
65831914,0.04
48735635,0.14
41620362,0.04
14719089,0.16
38882639,0.29
27542484,0.08
666653,0.14
12655181,0.11
585658,0.52
93769356,0.1
49963764,0.08
1076751,0.23
74031893,0.27
55220437,0.22
29294332,0.07
64721237,0.05
2086915,0.13
63898787,0.48
6581967,0.41
119196498,0.14
80580924,0.19
57673278,0.24
59161213,0.17
93939330,0.26
6154694,0.21
1523343,0.15
7441341,0.12
91703157,0.1
463417,0.09
13867926,0.3
95087984,0.15
41043367,0.1
77258951,0.14
13027353,0.08
1338043,0.32
1954848,0.23
74866154,0.23
109604791,0.07
2934936,0.05
58050747,0.04
23834900,0.11
121782410,0.22
603952,0.05
8375660,0.11
22443754,0.18
119288274,0.03
66350638,0.1
102637814,0.28
807143,0.12
12405982,0.13
39740897,0.18
788585,0.11
13207353,0.24
40267626,0.13
9786588,0.23
16382708,0.15
1026420,0.25
2366165,0.02
71786074,0.08
23915367,0.1
1294498,0.08
74701796,0.38
87996470,0.23
67828325,0.26
5894945,0.29
73440584,0.26
73600187,0.09
63907208,0.25
874862,0.17
16472120,0.3
65905407,0.23
40384411,0.18
120613940,0.17
40705357,0.5
1006108,0.05
31527554,0.21
55019095,0.13
80791425,0.24
63424822,0.11
13007652,0.1
59975635,0.14
6570316,0.11
57684060,0.2
3705877,0.13
3706738,0.12
103841135,0.28
48545920,0.4
48685609,0.13
66160594,0.08
8995316,0.17
91017915,0.3
19145689,0.24
54888993,0.09
12576508,0.42
52556777,0.05
20029414,0.13
47220215,0.22
75149470,0.48
1311693,0.26
119689834,0.08
45694313,0.33
7626123,0.57
44125643,0.11
22454439,0.3
10140699,0.07
41308289,0.1
60236751,0.44
75961619,0.12
39600812,0.14
66482325,0.13
663454,0.45
98707642,0.21
3186621,0.16
16502311,0.23
28574638,0.36
1398524,0.14
6837828,0.13
15430567,0.2
29664329,0.15
22443190,0.2
59070495,0.09
16081474,0.13
415767,0.2
13478570,0.28
1015211,0.58
14908890,0.34
45172143,0.05
1197205,0.02
34352590,0.17
39420233,0.23
76263381,0.2
60396696,0.2
31207546,0.29
16652155,0.23
66106072,0.33
16393071,0.44
16472705,0.12
12266262,0.12
11854669,0.12
20029551,0.17
69276359,0.12
65733888,0.12
41141648,0.1
4157153,0.15
23966097,0.09
21370742,0.19
31256557,0.23
120943814,0.12
4547095,0.08
24685927,0.24
43064232,0.04
46834038,0.09
59242936,0.01
129966154,0.27
15460820,0.25
88929133,0.17
28694557,0.16
55933874,0.17
19346442,0.1
13687287,0.13
118250618,0.16
2307399,0.13
811564,0.07
42405459,0.21
26399977,0.31
62345404,0.02
70282934,0.25
6699860,0.33
5344732,0.09
67376377,0.08
56138513,0.13
127897962,0.09
80731377,0.15
73520782,0.04
89987611,0.12
102945828,0.13
802900,0.07
1302043,0.15
68568737,0.12
481098,0.05
56552885,0.21
88885269,0.13
27711640,0.06
60984550,0.04
50535611,0.14
17353050,0.12
8630221,0.27
70872150,0.25
130793780,0.25
11717989,0.27
37651926,0.12
58634053,0.28
4307845,0.06
779279,0.35
46408169,0.17
15501522,0.46
60910499,0.14
1689249,0.11
43870240,0.12
